"","DMA","GT.MVT","GT.Burglary","GT.Larceny","GT.Rape","UCR.Rape","UCR.Burglary","UCR.Larceny","UCR.MVT","DMA.INDEX","Percentage.of.Foreign.Born","Percentage.of.MoveIn","Percentage.of.Renter","Mobility.Index","Concentrated.Disadvantage.Index","Percentage.of.Unemployed","Percentage.of.Female.Headed.Family","Percentage.of.Poverty","Heterogeneity.Index","Percentage.of.Young.Males","Percentage.of.Dropped.Out","Percentage.of.Divorced","Population.logged","Less.than.High.School","Percentage.of.White","Percentage.of.Black","Percentage.of.Hispanic","Population","Drug.Mortality.Rate","Law.Enforce.per.Thousand","Internet.Usage.HH","Median.Vehicle.HH"
"37","Grand Rapids-Kalamazoo-Battle Creek MI",44.0275022589658,28.2382366734407,46.0127028934368,62.1991131756757,100,39.6268772674616,49.5713002913562,16.1365415671696,532,0.0509469156339512,0.151525449588062,0.238209817605544,-1.24328193238969,-1.03567702785352,0.0362165700392744,0.0763175915858147,0.0658096614670458,0.338632668994513,0.064572362269054,0.0429566412886992,0.0897977715000049,14.5244621876692,0.063791796678905,0.806518411701594,0.068535725886626,0.076442766726054,2031860,148.968883459764,3.26498872953845,0.815784493556142,2.17142857142857
"38","Green Bay-Appleton WI",41.048783274306,43.574592256787,37.6983566891824,59.2303631756757,38.2295238737026,22.9488858702069,39.4780639038396,8.47745869877681,1104,0.0344947510389213,0.120532549922136,0.242480525196604,-2.3269379356299,-4.45905547109031,0.0250671255419979,0.0587506574833213,0.0445263365947386,0.214445646845316,0.0608358919698585,0.0324407870712423,0.0885420809536688,13.9390211597534,0.0568525500635461,0.884565279258163,0.013396384500761,0.0469414792542746,1131462,117.044528062905,4.52379311015306,0.813894229187386,2.19791666666667
"39","Greensboro-High Point-Winston Salem NC",53.0124736453995,42.7471210463238,47.7205363443896,61.6015625,27.9135939813492,73.0922721287498,65.4848840160057,25.0961639677201,690,0.0741322783385176,0.127630439677005,0.316286463799706,-0.690625571113391,2.07216854982785,0.0385589665411769,0.089642515262809,0.0849184556704634,0.512446694959862,0.0608992919781041,0.0531015369110607,0.0906091049308388,14.3952303283441,0.104314497927235,0.662099322445112,0.20071009410049,0.0915320760465473,1785538,180.225215038393,4.12228695216792,0.810519991787351,2.2637037037037
"40","Greenville-Spartanburg SC-Asheville NC-Anderson SC",58.4578793764216,58.2523057683289,54.1818731726989,63.7426097972973,50.0075896108892,65.4735638995332,67.0877547323445,35.7576059910241,980,0.0511288804226241,0.140277762395756,0.286859224967605,-0.762294401800991,0.604375569886789,0.0347632706854352,0.0783063842473709,0.0776909944395537,0.389271192471905,0.0573811923404915,0.0552838523849344,0.0925905662675955,14.6296910418887,0.100764621842225,0.767286722115779,0.134844118591696,0.0600334466680695,2257325,204.850220238015,3.69353105999358,0.806581149158305,2.16111111111111
"41","Harlingen-Weslaco-Brownsville-McAllen TX",32.542608767903,60.3730915533323,52.1978021978022,54.0477195945946,53.9105617014412,51.7117556965024,80.730683309386,21.5564050393726,388,0.265085898340201,0.100027959405642,0.300766372555707,-2.01442069856599,13.4293086179852,0.0351381516958916,0.1514373764718,0.229035499846782,0.166428856026322,0.0819375493318601,0.0614858212162258,0.0558348581078903,14.1037502249313,0.202755163307665,0.0750462679440542,0.00399527163724433,0.909866147156424,1334077,44.2648844173829,6.05437317336256,0.808199798743127,1.95833333333333
"42","Harrisburg-Lancaster-Lebanon-York PA",43.9215645544904,54.1159918711896,41.4779715697147,58.4068834459459,37.5607334913437,20.4283412065207,37.0475207165327,8.71888712422202,423,0.047109883862233,0.125583912706487,0.259659921453789,-1.81851542513632,-2.33409699644764,0.0292651817303687,0.0678693046058519,0.0483590310142334,0.305905720075083,0.0604676600425686,0.0713120472780252,0.0790376994238124,14.4304175095761,0.084140743001631,0.827545459288791,0.0554727547054328,0.0756275600038822,1849484.5,171.335403413101,3.93947610807228,0.817483429772829,2.20864197530864
"43","Hartford & New Haven CT",65.0509435725933,57.3310405919441,41.7148906139732,52.3426942567568,28.5902025127739,28.8116399937533,48.0493486239299,29.7591416898148,189,0.115768315514543,0.121383569553786,0.29039970988768,-1.40553197459323,-0.538699743059098,0.0418201144794106,0.0815906988931266,0.0479408122006895,0.477566399091576,0.0605838245743135,0.0270027425184232,0.093231859566276,14.7879899224815,0.0675541587744797,0.701914885008204,0.0944345475673409,0.138777451859392,2644493,212.318603210101,4.60088190817673,0.822032515830683,2.18095238095238
"44","Houston TX",69.761017001963,73.8075139388255,65.1325738481702,57.8652871621622,48.9403632757303,58.2644650345772,69.7883349629689,54.1006416711283,209,0.222412584655742,0.154648277452303,0.350469509847953,0.957653239155019,1.90633738374747,0.033120086750673,0.0967868720248717,0.0847917160261665,0.690020096487933,0.0670308818398159,0.0466595583270549,0.0769832360539189,15.7451262417778,0.11107481011311,0.383326414363114,0.167198403685393,0.360844552882786,6886863,104.941715452498,4.49696763243294,0.836332833618335,2.18070175438597
"45","Huntsville-Decatur (Florence) AL",45.6072203815835,74.2483455786567,56.2445811069664,65.2882179054054,46.1398393079367,52.9670919302041,58.5392938778374,31.1396397694901,913,0.047298592494928,0.133737794405982,0.271057842474251,-1.30099435935487,0.795611963315952,0.0341051177137408,0.0789613003270342,0.0802666836879646,0.40835649567133,0.0616256610603237,0.0388666772783026,0.100938012367362,13.8428387188344,0.105143499350495,0.75392014245333,0.13714198140517,0.0649729251098321,1027705,134.175841620244,3.43872998574494,0.812915375137729,2.23838383838384
"46","Indianapolis IN",56.7794937839494,51.0062008233026,58.7347514870451,64.1638513513514,47.1892663856314,53.415139810095,60.2564445997257,39.3213667931052,800,0.0573409083965876,0.15755105221226,0.300396499708401,0.137119531023173,-0.492491097535331,0.0350655609573249,0.083967306074733,0.0657308997334018,0.371939169381672,0.0623526770681333,0.0450557341280236,0.101250565091892,14.8847774516179,0.073197979022004,0.782301888307978,0.11025719447365,0.0570838066031567,2913243,211.364898314315,4.05355818241046,0.820275476757505,2.21041666666667
"47","Jackson MS",57.0921138726463,90.5632848731176,54.2302651476963,83.5293496621622,28.967289099732,52.0446935808697,42.1698749071306,26.9962996329161,2136,0.0232752859438252,0.12053939117509,0.297333998357129,-1.30849365734424,5.15250077224239,0.0393851592502294,0.131104134980633,0.111071318863274,0.541205092293773,0.0655354699410338,0.0613442940038685,0.0891295954183361,13.7258626173844,0.103585659549381,0.467270547649283,0.489673536756237,0.0243411834579706,914253,107.532231606325,5.65379604988991,0.808970390208032,2.02175925925926
"48","Jacksonville FL",68.9851791074229,68.6571830545568,59.5433007359613,63.4554476351351,49.5606644488928,55.6568011138699,70.1068675561486,26.8031857628549,765,0.0766587374536027,0.174587043445848,0.323386111199775,1.20308327446042,1.0786361758468,0.0399564172796614,0.0920063441137295,0.0754158334270917,0.521710773302488,0.0587490309390789,0.0554800984033994,0.10891379158306,14.4298520570848,0.0773844849627172,0.654218505452439,0.208120744044028,0.0778078151348246,1848439,210.71273675734,5.70670711881755,0.820818864935154,2.11925925925926
